simulation,d,c,t,lambda,beta,n,entering_nodes,exiting_nodes,informed_nodes,uninformed_nodes,percentage_informed,t_flood,process_status,flood_status,initiator,
0,4,1.5,269,327.68,0.02,16406,355,312,7,16399,0.00042667316835304155,1,True,None,152053,
0,4,1.5,270,327.68,0.02,16401,334,339,29,16372,0.0017681848667764162,2,True,None,152053,
0,4,1.5,271,327.68,0.02,16375,316,342,118,16257,0.007206106870229007,3,True,None,152053,
0,4,1.5,272,327.68,0.02,16422,339,292,464,15958,0.02825478017293874,4,True,None,152053,
0,4,1.5,273,327.68,0.02,16433,319,308,1781,14652,0.10837948031400231,5,True,None,152053,
0,4,1.5,274,327.68,0.02,16471,344,306,5977,10494,0.36288021370894297,6,True,None,152053,
0,4,1.5,275,327.68,0.02,16465,334,340,13623,2842,0.8273914363802004,7,True,None,152053,
0,4,1.5,276,327.68,0.02,16451,323,337,16429,22,0.9986626952768829,8,True,None,152053,
0,4,1.5,277,327.68,0.02,16452,335,334,16452,0,1.0,9,True,None,152053,
0,4,1.5,278,327.68,0.02,16427,304,329,16427,0,1.0,10,True,None,152053,
0,4,1.5,279,327.68,0.02,16450,353,330,16450,0,1.0,11,True,None,152053,
0,4,1.5,280,327.68,0.02,16444,319,325,16444,0,1.0,12,True,None,152053,
0,4,1.5,281,327.68,0.02,16409,282,317,16409,0,1.0,13,True,None,152053,
0,4,1.5,282,327.68,0.02,16410,337,336,16410,0,1.0,14,True,None,152053,
0,4,1.5,283,327.68,0.02,16435,323,298,16435,0,1.0,15,True,None,152053,
0,4,1.5,284,327.68,0.02,16469,340,306,16469,0,1.0,16,True,None,152053,
0,4,1.5,285,327.68,0.02,16481,331,319,16481,0,1.0,17,True,None,152053,
0,4,1.5,286,327.68,0.02,16436,294,339,16436,0,1.0,18,True,None,152053,
0,4,1.5,287,327.68,0.02,16374,291,353,16374,0,1.0,19,True,None,152053,
0,4,1.5,288,327.68,0.02,16363,345,356,16363,0,1.0,20,True,None,152053,
0,4,1.5,289,327.68,0.02,16352,310,321,16352,0,1.0,21,True,None,152053,
0,4,1.5,290,327.68,0.02,16351,324,325,16351,0,1.0,22,True,None,152053,
0,4,1.5,291,327.68,0.02,16361,330,320,16361,0,1.0,23,True,None,152053,
0,4,1.5,292,327.68,0.02,16337,317,341,16337,0,1.0,24,True,None,152053,
0,4,1.5,293,327.68,0.02,16298,289,328,16298,0,1.0,25,True,None,152053,
0,4,1.5,294,327.68,0.02,16280,323,341,16280,0,1.0,26,True,None,152053,
0,4,1.5,295,327.68,0.02,16298,320,302,16298,0,1.0,27,True,None,152053,
0,4,1.5,296,327.68,0.02,16311,361,348,16311,0,1.0,28,True,None,152053,
0,4,1.5,297,327.68,0.02,16284,314,341,16284,0,1.0,29,True,None,152053,
0,4,1.5,298,327.68,0.02,16291,321,314,16291,0,1.0,30,True,None,152053,
0,4,1.5,299,327.68,0.02,16310,345,326,16310,0,1.0,31,True,None,152053,
0,4,1.5,300,327.68,0.02,16335,355,330,16335,0,1.0,32,True,None,152053,
0,4,1.5,301,327.68,0.02,16351,326,310,16351,0,1.0,33,True,None,152053,
0,4,1.5,302,327.68,0.02,16370,327,308,16370,0,1.0,34,True,None,152053,
0,4,1.5,303,327.68,0.02,16382,328,316,16382,0,1.0,35,True,None,152053,
0,4,1.5,304,327.68,0.02,16386,334,330,16386,0,1.0,36,True,None,152053,
0,4,1.5,305,327.68,0.02,16394,342,334,16394,0,1.0,37,True,None,152053,
0,4,1.5,306,327.68,0.02,16338,299,355,16338,0,1.0,38,True,None,152053,
0,4,1.5,307,327.68,0.02,16345,345,338,16345,0,1.0,39,True,None,152053,
0,4,1.5,308,327.68,0.02,16303,283,325,16303,0,1.0,40,True,None,152053,
0,4,1.5,309,327.68,0.02,16308,328,323,16308,0,1.0,41,True,None,152053,
0,4,1.5,310,327.68,0.02,16306,336,338,16306,0,1.0,42,True,None,152053,
0,4,1.5,311,327.68,0.02,16291,303,318,16291,0,1.0,43,True,None,152053,
0,4,1.5,312,327.68,0.02,16278,354,367,16278,0,1.0,44,True,None,152053,
0,4,1.5,313,327.68,0.02,16288,340,330,16288,0,1.0,45,True,None,152053,
0,4,1.5,314,327.68,0.02,16302,325,311,16302,0,1.0,46,True,None,152053,
0,4,1.5,315,327.68,0.02,16312,324,314,16312,0,1.0,47,True,None,152053,
0,4,1.5,316,327.68,0.02,16309,323,326,16309,0,1.0,48,True,None,152053,
0,4,1.5,317,327.68,0.02,16287,332,354,16287,0,1.0,49,True,None,152053,
0,4,1.5,318,327.68,0.02,16305,340,322,16305,0,1.0,50,True,None,152053,
0,4,1.5,319,327.68,0.02,16310,338,333,16310,0,1.0,51,True,None,152053,
0,4,1.5,320,327.68,0.02,16324,330,316,16324,0,1.0,52,True,None,152053,
0,4,1.5,321,327.68,0.02,16294,324,354,16294,0,1.0,53,True,None,152053,
0,4,1.5,322,327.68,0.02,16306,363,351,16306,0,1.0,54,True,None,152053,
0,4,1.5,323,327.68,0.02,16299,338,345,16299,0,1.0,55,True,None,152053,
0,4,1.5,324,327.68,0.02,16295,325,329,16295,0,1.0,56,True,None,152053,
0,4,1.5,325,327.68,0.02,16293,312,314,16293,0,1.0,57,True,None,152053,
0,4,1.5,326,327.68,0.02,16341,371,323,16341,0,1.0,58,True,None,152053,
0,4,1.5,327,327.68,0.02,16356,345,330,16356,0,1.0,59,True,None,152053,
0,4,1.5,328,327.68,0.02,16387,337,306,16386,1,0.9999389760175749,60,True,None,152053,
0,4,1.5,329,327.68,0.02,16364,308,331,16364,0,1.0,61,True,None,152053,
0,4,1.5,330,327.68,0.02,16368,333,329,16368,0,1.0,62,True,None,152053,
0,4,1.5,331,327.68,0.02,16419,353,302,16419,0,1.0,63,True,None,152053,
0,4,1.5,332,327.68,0.02,16411,335,343,16411,0,1.0,64,True,None,152053,
0,4,1.5,333,327.68,0.02,16395,314,330,16395,0,1.0,65,True,None,152053,
0,4,1.5,334,327.68,0.02,16426,349,318,16426,0,1.0,66,True,None,152053,
0,4,1.5,335,327.68,0.02,16406,334,354,16406,0,1.0,67,True,None,152053,
0,4,1.5,336,327.68,0.02,16400,320,326,16400,0,1.0,68,True,None,152053,
0,4,1.5,337,327.68,0.02,16429,365,336,16429,0,1.0,69,True,None,152053,
0,4,1.5,338,327.68,0.02,16456,337,310,16456,0,1.0,70,True,None,152053,
0,4,1.5,339,327.68,0.02,16458,329,327,16458,0,1.0,71,True,None,152053,
0,4,1.5,340,327.68,0.02,16438,335,355,16438,0,1.0,72,True,None,152053,
0,4,1.5,341,327.68,0.02,16411,336,363,16410,1,0.9999390652611053,73,True,None,152053,
0,4,1.5,342,327.68,0.02,16397,315,329,16397,0,1.0,74,True,None,152053,
0,4,1.5,343,327.68,0.02,16406,335,326,16406,0,1.0,75,True,None,152053,
0,4,1.5,344,327.68,0.02,16382,304,328,16382,0,1.0,76,True,None,152053,
0,4,1.5,345,327.68,0.02,16366,316,332,16366,0,1.0,77,True,None,152053,
0,4,1.5,346,327.68,0.02,16365,320,321,16365,0,1.0,78,True,None,152053,
