simulation,d,c,n,target_n,lambda,q,t,converged,SpectralGapBefore,SpectralGapAfter,
0,4,0,367,512.0,153.6,0.3,9,False,0.0,0.1777086473985512,
0,4,1,370,512.0,153.6,0.3,10,True,0.0,0.17961704971564474,
0,4,2,343,512.0,153.6,0.3,11,True,0.0,0.1763895954608632,
0,4,3,366,512.0,153.6,0.3,12,True,0.0,0.18262178741243218,
0,4,4,365,512.0,153.6,0.3,13,True,0.0,0.18942634926082047,
0,4,5,359,512.0,153.6,0.3,14,True,0.0,0.17672302756923342,
0,4,6,347,512.0,153.6,0.3,15,True,0.0,0.16016817284175078,
0,4,7,343,512.0,153.6,0.3,16,True,0.0,0.0,
0,4,8,377,512.0,153.6,0.3,17,True,0.0,0.17139130988652806,
0,4,9,381,512.0,153.6,0.3,18,True,0.0,0.17848103119598457,
0,4,10,385,512.0,153.6,0.3,19,True,0.0,0.1818836367339236,
0,4,11,373,512.0,153.6,0.3,20,True,0.0,0.1831284967501079,
0,4,12,410,512.0,153.6,0.3,21,True,0.0,0.17763121782813562,
0,4,13,410,512.0,153.6,0.3,22,True,0.0,0.18326595942588264,
0,4,14,403,512.0,153.6,0.3,23,True,0.0,0.18501698696878466,
0,4,15,402,512.0,153.6,0.3,24,True,0.0,0.1862022738557354,
0,4,16,395,512.0,153.6,0.3,25,True,0.0,0.18470891096599074,
0,4,17,403,512.0,153.6,0.3,26,True,0.0,0.0,
0,4,18,380,512.0,153.6,0.3,27,True,0.0,0.18891543005879796,
0,4,19,367,512.0,153.6,0.3,28,True,0.0,0.1859543133086875,
0,4,20,359,512.0,153.6,0.3,29,True,0.0,0.1712912616099861,
0,4,21,348,512.0,153.6,0.3,30,True,0.0,0.17193631504586904,
0,4,22,382,512.0,153.6,0.3,31,True,0.0,0.17787353498153702,
0,4,23,364,512.0,153.6,0.3,32,True,0.0,0.17905350903981143,
0,4,24,383,512.0,153.6,0.3,33,True,0.0,0.1807904316468898,
0,4,25,367,512.0,153.6,0.3,34,True,0.0,0.19212179056853063,
0,4,26,374,512.0,153.6,0.3,35,True,0.0,0.18163841863717578,
0,4,27,378,512.0,153.6,0.3,36,True,0.0,0.1887055608594903,
0,4,28,354,512.0,153.6,0.3,37,True,0.0,0.17670830919230818,
0,4,29,362,512.0,153.6,0.3,38,True,0.0,0.1784693088512671,
0,4,30,372,512.0,153.6,0.3,39,True,0.0,0.17371820831588713,
0,4,31,390,512.0,153.6,0.3,40,True,0.0,0.17704323188993976,
0,4,32,386,512.0,153.6,0.3,41,True,0.0,0.0,
0,4,33,381,512.0,153.6,0.3,42,True,0.0,0.18270799198898457,
0,4,34,378,512.0,153.6,0.3,43,True,0.0,0.0,
0,4,35,339,512.0,153.6,0.3,44,True,0.0,0.1665003424235758,
0,4,36,358,512.0,153.6,0.3,45,True,0.0,0.17184169581532027,
0,4,37,378,512.0,153.6,0.3,46,True,0.0,0.179492305114355,
0,4,38,384,512.0,153.6,0.3,47,True,0.0,0.1846624932757973,
0,4,39,395,512.0,153.6,0.3,48,True,0.0,0.1730604952948157,
0,4,40,354,512.0,153.6,0.3,49,True,0.0,0.18652198595763447,
0,4,41,378,512.0,153.6,0.3,50,True,0.0,0.17757348550131713,
0,4,42,394,512.0,153.6,0.3,51,True,0.0,0.0,
0,4,43,382,512.0,153.6,0.3,52,True,0.0,0.17494944289745473,
0,4,44,382,512.0,153.6,0.3,53,True,0.0,0.18744035800790737,
0,4,45,374,512.0,153.6,0.3,54,True,0.0,0.17555609959590246,
0,4,46,358,512.0,153.6,0.3,55,True,0.0,0.17954291443195913,
0,4,47,319,512.0,153.6,0.3,56,True,0.0,0.0,
0,4,48,340,512.0,153.6,0.3,57,True,0.0,0.1797859760509548,
0,4,49,359,512.0,153.6,0.3,58,True,0.0,0.18309578539201243,
0,4,50,350,512.0,153.6,0.3,59,True,0.0,0.18292860774536723,
0,4,51,353,512.0,153.6,0.3,60,True,0.06683452877951257,0.18549428508474675,
0,4,52,380,512.0,153.6,0.3,61,True,0.0,0.16771279177266818,
0,4,53,383,512.0,153.6,0.3,62,True,0.0,0.18962537534688795,
0,4,54,389,512.0,153.6,0.3,63,True,0.0,0.1670729322336022,
0,4,55,384,512.0,153.6,0.3,64,True,0.0,0.1872833933408704,
0,4,56,360,512.0,153.6,0.3,65,True,0.0,0.17550117916379282,
0,4,57,369,512.0,153.6,0.3,66,True,0.0,0.0,
0,4,58,376,512.0,153.6,0.3,67,True,0.0,0.0,
0,4,59,343,512.0,153.6,0.3,68,True,0.0,0.1554325212936838,
0,4,60,351,512.0,153.6,0.3,69,True,0.0,0.15627923463440985,
0,4,61,365,512.0,153.6,0.3,70,True,0.0,0.1765437475044619,
0,4,62,356,512.0,153.6,0.3,71,True,0.0,0.1592551374281188,
0,4,63,345,512.0,153.6,0.3,72,True,0.0,0.18223036605480136,
0,4,64,367,512.0,153.6,0.3,73,True,0.06440418869614495,0.1872696207386736,
0,4,65,379,512.0,153.6,0.3,74,True,0.0,0.1803029087873016,
0,4,66,382,512.0,153.6,0.3,75,True,0.0,0.1801636696854262,
0,4,67,372,512.0,153.6,0.3,76,True,0.0,0.18947653246246876,
0,4,68,368,512.0,153.6,0.3,77,True,0.0,0.17422156985922232,
0,4,69,366,512.0,153.6,0.3,78,True,0.0,0.1791937366297841,
0,4,70,384,512.0,153.6,0.3,79,True,0.0,0.16681798110669643,
0,4,71,369,512.0,153.6,0.3,80,True,0.0,0.0,
0,4,72,362,512.0,153.6,0.3,81,True,0.0,0.17290486191652632,
0,4,73,373,512.0,153.6,0.3,82,True,0.0,0.18154151793780893,
0,4,74,373,512.0,153.6,0.3,83,True,0.0,0.1872560185035128,
0,4,75,380,512.0,153.6,0.3,84,True,0.0,0.17660824507813266,
0,4,76,354,512.0,153.6,0.3,85,True,0.0,0.17338484173732727,
0,4,77,356,512.0,153.6,0.3,86,True,0.0,0.0,
0,4,78,366,512.0,153.6,0.3,87,True,0.0,0.17979338630249198,
0,4,79,350,512.0,153.6,0.3,88,True,0.0,0.1762865459316585,
0,4,80,384,512.0,153.6,0.3,89,True,0.0,0.18749973847208,
0,4,81,389,512.0,153.6,0.3,90,True,0.0,0.0,
0,4,82,373,512.0,153.6,0.3,91,True,0.0,0.17507924462402402,
0,4,83,355,512.0,153.6,0.3,92,True,0.0,0.1817026466415439,
0,4,84,370,512.0,153.6,0.3,93,True,0.0,0.18042743212777934,
0,4,85,361,512.0,153.6,0.3,94,True,0.0,0.19279330444824905,
0,4,86,371,512.0,153.6,0.3,95,True,0.0,0.17696824541947298,
0,4,87,369,512.0,153.6,0.3,96,True,0.0,0.17857649969521128,
0,4,88,396,512.0,153.6,0.3,97,True,0.0,0.0,
0,4,89,412,512.0,153.6,0.3,98,True,0.0,0.0,
0,4,90,390,512.0,153.6,0.3,99,True,0.0,0.0,
0,4,91,384,512.0,153.6,0.3,100,True,0.0,0.0,
0,4,92,387,512.0,153.6,0.3,101,True,0.0,0.0,
0,4,93,385,512.0,153.6,0.3,102,True,0.0,0.18040999629123267,
0,4,94,372,512.0,153.6,0.3,103,True,0.0,0.18188855582264196,
0,4,95,366,512.0,153.6,0.3,104,True,0.0,0.188920037707612,
